sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
0091	101040	95702	94.72	93390	89289	88.37	76389	75.6
0092	76103	71151	93.49	70819	68439	89.93	62288	81.85
0093	57920	54433	93.98	53523	51868	89.55	46842	80.87
0094	108727	102486	94.26	100054	96265	88.54	84076	77.33
0095	78756	74066	94.04	71791	69331	88.03	62108	78.86
0096	83761	78157	93.31	76808	74775	89.27	66845	79.8
0097	75107	70809	94.28	69889	68079	90.64	64016	85.23
0098	88009	83153	94.48	82567	79149	89.93	72018	81.83
0099	59240	55570	93.8	55537	54381	91.8	49921	84.27
0100	67689	62985	93.05	60740	57234	84.55	48572	71.76
0101	67401	63463	94.16	63201	62725	93.06	57637	85.51
0102	99128	93564	94.39	91364	86886	87.65	71200	71.83
0103	80406	76011	94.53	74856	72567	90.25	68465	85.15
0104	72828	68347	93.85	66859	64777	88.95	56090	77.02
0105	95766	90324	94.32	88788	85397	89.17	71795	74.97
0106	78449	73454	93.63	73167	71234	90.8	67532	86.08
0107	67805	63752	94.02	63164	60359	89.02	57890	85.38
0108	80802	75294	93.18	74354	71601	88.61	69145	85.57
