sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
0235	95009	94534	99.5	92901	89773	94.49	74176	78.07
0236	125828	125252	99.54	124783	118812	94.42	114576	91.06
0237	101089	100555	99.47	99030	96049	95.01	85819	84.89
0238	125761	125088	99.46	124494	118104	93.91	117180	93.18
0239	122406	121765	99.48	121086	115320	94.21	108635	88.75
0240	102938	102402	99.48	102181	97986	95.19	87673	85.17
0241	132562	131936	99.53	129942	126181	95.19	109509	82.61
0242	153716	153036	99.56	151756	147400	95.89	131051	85.26
0243	119896	119220	99.44	118716	114799	95.75	111978	93.4
0244	118677	118192	99.59	118018	116799	98.42	113252	95.43
0245	145710	144984	99.5	143732	140115	96.16	130133	89.31
0246	125558	124880	99.46	124116	122046	97.2	115061	91.64
0332	113837	113237	99.47	112619	110914	97.43	101744	89.38
0333	157126	156241	99.44	155099	149614	95.22	127262	80.99
0334	122512	121920	99.52	119423	115146	93.99	98512	80.41
0335	140807	140034	99.45	139204	137354	97.55	116550	82.77
0336	155177	154492	99.56	154195	151276	97.49	144770	93.29
0337	160265	159582	99.57	158813	155624	97.1	144257	90.01
0338	132257	131627	99.52	131265	128908	97.47	124537	94.16
0339	91298	90869	99.53	90239	86257	94.48	82317	90.16
0340	116752	116319	99.63	116012	114451	98.03	111179	95.23
0341	129358	128828	99.59	128354	126484	97.78	120227	92.94
0342	41782	40952	98.01	40389	38542	92.25	37880	90.66
0343	100259	99776	99.52	98022	93825	93.58	81880	81.67
0344	147018	146266	99.49	145014	137973	93.85	125562	85.41
0345	106986	106482	99.53	105704	99992	93.46	78527	73.4
0346	172901	172044	99.5	170980	166151	96.1	151772	87.78
0347	102533	102016	99.5	100457	96680	94.29	81735	79.72
0348	167061	166057	99.4	164934	159725	95.61	137932	82.56
0349	148397	147722	99.55	146717	140127	94.43	114764	77.34
F-AcCIB05	198885	198131	99.62	198027	197508	99.31	197408	99.26
F-AcCIB25	171865	170991	99.49	169696	155153	90.28	139295	81.05
F-AcCIB30	138174	137387	99.43	137140	135571	98.12	135364	97.97
F-AcCIB33	169601	168406	99.3	168094	165580	97.63	164379	96.92
F-AcCIB34	167738	166768	99.42	166193	162956	97.15	160773	95.85
F-AcCIB49	172695	171869	99.52	170779	165976	96.11	163228	94.52
F-AcCIB50	163386	162333	99.36	162130	160606	98.3	160509	98.24
F-PmKCH01	193835	192561	99.34	192410	188478	97.24	188198	97.09
F-SvCIB11	149032	148431	99.6	148403	148104	99.38	148083	99.36
F-SvCIB12	156942	155935	99.36	155532	153143	97.58	83889	53.45
nc001	112001	111441	99.5	111303	110299	98.48	109827	98.06
nc002	8	8	100	7	7	87.5	7	87.5
