sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
0349	109273	108609	99.39	108426	107991	98.83
F-AcCIB05	531	531	100	522	522	98.31
F-AcCIB25	351	351	100	221	221	62.96
F-AcCIB30	358	357	99.72	337	337	94.13
F-AcCIB33	440	439	99.77	397	397	90.23
F-AcCIB34	400	400	100	332	332	83
F-AcCIB49	461	460	99.78	390	390	84.6
F-AcCIB50	382	381	99.74	362	362	94.76
F-PmKCH01	520	518	99.62	478	478	91.92
F-SvCIB11	435	432	99.31	424	424	97.47
F-SvCIB12	366	365	99.73	308	308	84.15
nc001	268	266	99.25	256	256	95.52
nc002	86825	86484	99.61	86452	86452	99.57
